Member Number,Current Plan Start Date,Current Plan End Date
10862915,20140822,20141221
10856537,20140730,20150829
10663046,20130210,20140309
10914797,20150128,20150627
10914797,20150128,20150627
10492251,20120208,20120607
10448404,20120501,20130501
10749562,20150928,20151124
10749562,20150928,20151124
10657685,20130128,20130527
10610067,20120928,20130127
10657681,20130128,20130527
10610073,20120928,20130127
10852808,20140716,20141115
10855317,20140801,20150831
10914199,20150127,20150726
10871093,20140915,20150114
10869374,20140910,20150109
10869386,20151009,20161208
10908351,20150113,20150512
10872108,20140918,20150117
10875945,20140928,20150127
10768182,20131110,20140309
10908901,20150117,20150519
10872137,20150118,20150517
10872137,20150118,20150517
10748266,20130923,20140122
10748274,20130923,20140122
10626086,20121029,20130227
10881173,20150609,20151008
10881173,20150609,20151008
10881173,20150609,20151008
10692503,20130522,20130921
10865776,20140831,20141230
10872561,20140919,20150118
10863271,20140823,20150922
10879873,20150406,20160505
10873694,20141001,20151031
10875006,20140930,20150129
10877273,20140930,20151029
10875380,20140928,20150127
10878752,20141002,20150201
10874015,20140923,20151022
10873634,20140923,20151022
10872650,20140920,20150319
10870996,20140915,20150114
10870378,20140913,20150112
10870381,20140913,20150112
10871715,20140917,20150116
10869181,20140909,20150108
10873008,20140922,20151021
10873041,20140922,20150321
10740442,20141003,20160202
10780125,20150130,20160328
10780129,20131230,20150129
10869163,20140910,20150109
10867065,20150304,20160503
10906921,20150110,20150509
10867095,20140903,20150102
10910550,20150130,20150529
10910645,20150130,20150529
10910544,20150130,20150529
10557955,20120615,20130615
10856557,20150825,20160924
10862720,20140820,20141219
10867533,20140910,20151009
10853789,20140721,20141120
10853793,20140721,20141120
10536602,20120425,20120824
10664697,20130215,20130614
10865856,20140831,20150929
10853811,20140721,20140820
10853816,20140721,20140820
10853821,20140721,20140820
10853823,20140721,20140820
10847658,20140629,20141028
10899775,20150105,20150504
10874618,20140925,20151024
10903520,20150103,20160202
10891149,20141107,20150306
10870248,20141001,20150331
10870248,20141001,20150331
10862784,20140826,20150925
10867630,20140904,20150103
10867622,20150104,20150503
10867622,20150104,20150503
10867632,20140904,20150103
10792953,20140123,20140522
10878175,20141001,20150331
10878153,20141001,20150331
10878231,20141002,20150401
10873717,20140923,20150322
10875049,20140926,20150125
10875052,20140926,20150125
10561325,20121018,20130217
10561325,20121018,20130217
10875089,20140926,20150425
10872022,20160105,20170204
10864965,20140831,20150929
10894712,20151121,20160520
10931628,20150318,20150717
10296911,20140806,20150905
10296911,20140806,20150905
10870731,20140915,20150214
10857231,20140731,20140901
10848797,20140701,20150731
10848800,20140701,20150731
10868184,20140907,20151006
10944492,20150429,20150828
10944492,20150429,20150828
10881281,20141009,20150308
10369254,20101011,20111011
10885869,20141024,20150423
10883951,20141017,20150416
10875107,20140926,20150325
10938244,20150916,20151206
10876917,20141001,20150331
10878362,20141001,20150331
10881695,20141010,20150409
10878662,20141002,20150401
10804000,20140217,20140816
10790083,20140116,20140715
10868061,20140906,20150105
10868061,20140906,20150105
10761742,20131024,20140423
10877314,20141001,20150331
10704277,20130705,20140804
10859343,20140807,20141206
10785642,20140108,20140507
10863721,20140826,20141225
10869187,20141001,20150131
10875500,20140929,20150128
10799487,20140204,20140603
10875569,20140927,20150126
10868038,20140905,20150104
10868039,20140905,20150104
10853532,20150901,20160930
10944150,20150428,20160701
10616761,20130209,20130608
10616761,20130209,20130608
10851884,20140712,20141111
10871928,20140917,20150116
10870508,20140914,20150113
10899951,20160202,20170318
10899951,20160202,20170318
10870528,20140914,20150113
10870547,20140914,20150113
10871854,20140918,20150117
10871864,20140917,20150116
10869313,20140909,20151008
10881954,20141013,20151013
10862563,20140820,20141219
10954397,20150602,20151001
10862300,20140820,20141219
10856600,20140730,20150829
10852461,20140715,20141114
10887908,20141110,20151209
10215568,20141008,20151107
10215568,20141008,20151107
10825574,20140427,20141026
10607704,20120925,20130124
10874816,20140925,20150424
10814290,20140401,20140731
10871775,20141001,20150131
10871822,20140917,20151016
10871824,20140917,20150116
10863368,20150930,20161001
10692670,20130523,20140522
10748027,20140523,20140626
10748027,20140523,20140626
10685703,20130426,20130825
10663598,20130212,20130315
10663598,20130212,20130315
10847770,20140629,20141028
10710626,20140901,20150901
10846444,20140625,20141024
10847767,20140630,20141029
10881006,20141008,20150207
10877103,20141001,20150331
10878272,20150202,20150601
10878302,20141001,20150131
10859177,20150201,20150201
10149101,20110816,20111216
10860567,20140812,20141211
10878271,20141001,20150430
10857931,20140819,20150825
10468504,20120110,20120509
10670776,20140904,20150604
10957593,20150615,20151014
10847133,20140630,20150729
10869962,20140911,20150310
10870005,20140911,20150110
10866286,20151001,20161031
10520553,20120325,20120724
10236622,20120202,20130215
10882754,20141015,20150414
10613640,20121008,20130207
10852949,20140716,20141115
10852960,20140716,20141115
10742151,20141001,20141001
10848905,20140701,20141231
10539390,20120430,20130501
10539421,20120430,20130501
10539421,20120430,20130501
10845138,20140620,20141019
10847467,20140629,20150728
10858314,20140804,20141203
10442281,20111121,20111218
10856734,20150427,20150826
10856734,20150427,20150826
10897060,20150330,20150829
10855468,20140802,20150901
10855472,20140802,20150901
10851002,20140708,20141107
10310334,20110220,20110701
10854648,20150815,20160815
10854648,20150815,20160815
10854648,20150815,20160815
10862075,20140818,20141217
10851701,20140715,20150814
10859506,20141004,20141206
10888309,20141030,20151129
10850321,20140801,20150831
10900665,20150101,20160101
10848741,20140701,20141031
10846911,20150226,20160301
10846911,20150226,20160301
10844962,20140619,20141018
10844993,20140619,20150718
10845017,20150719,20150918
10846569,20150726,20160925
10862084,20140818,20141217
10934108,20150327,20150726
10859569,20140901,20141231
10860987,20140901,20141231
10854881,20140725,20150824
10854912,20140726,20141125
10853970,20141216,20151222
10846015,20141023,20151027
10852316,20140714,20151113
10852351,20140714,20141113
10846498,20140625,20141024
10849956,20140705,20140804
10817190,20140324,20140723
10139688,20150817,20161016
